data;currency;usdpercent;usd;tngpercent;tng
08.05.2019;1 USD = 380.58 KZT;0%;976.0 $/м2;-0.24%;371 300 ₸/м2
08.05.2019;1 USD = 380.58 KZT;0%;976.0 $/м2;-0.24%;371 300 ₸/м2
22.05.2019;1 USD = 378.87 KZT;5.26%;1 041 $/м2;5.11%;394 000 ₸/м2
29.05.2019;1 USD = 380.30 KZT;-2.79%;1 012 $/м2;-1.98%;386 200 ₸/м2
29.05.2019;1 USD = 380.30 KZT;-2.79%;1 012 $/м2;-1.98%;386 200 ₸/м2
12.06.2019;1 USD = 383.75 KZT;-3.07%;980.0 $/м2;-3.12%;376 200 ₸/м2
19.06.2019;1 USD = 383.69 KZT;1.73%;997.0 $/м2;0.86%;379 500 ₸/м2
26.06.2019;1 USD = 378.83 KZT;0.2%;999.0 $/м2;-0.05%;379 300 ₸/м2
26.06.2019;1 USD = 378.83 KZT;0.2%;999.0 $/м2;-0.05%;379 300 ₸/м2
10.07.2019;1 USD = 384.23 KZT;3.34%;1 021 $/м2;3.56%;391 400 ₸/м2
17.07.2019;1 USD = 383.01 KZT;-2.84%;992.0 $/м2;-2.61%;381 200 ₸/м2
17.07.2019;1 USD = 383.01 KZT;-2.84%;992.0 $/м2;-2.61%;381 200 ₸/м2
31.07.2019;1 USD = 384.56 KZT;-1.28%;1 002 $/м2;-1.15%;385 800 ₸/м2
07.08.2019;1 USD = 386.94 KZT;0.8%;1 010 $/м2;1.36%;391 100 ₸/м2
07.08.2019;1 USD = 386.94 KZT;0.8%;1 010 $/м2;1.36%;391 100 ₸/м2
21.08.2019;1 USD = 386.91 KZT;2.2%;1 021 $/м2;1.98%;394 300 ₸/м2
28.08.2019;1 USD = 387.50 KZT;-1.18%;1 009 $/м2;-0.89%;390 800 ₸/м2
04.09.2019;1 USD = 388.28 KZT;-0.59%;1 003 $/м2;-0.51%;388 800 ₸/м2
04.09.2019;1 USD = 388.28 KZT;-0.59%;1 003 $/м2;-0.51%;388 800 ₸/м2
18.09.2019;1 USD = 385.42 KZT;-0.1%;1 004 $/м2;-0.12%;388 000 ₸/м2
25.09.2019;1 USD = 386.44 KZT;0.2%;1 006 $/м2;0.45%;389 700 ₸/м2
25.09.2019;1 USD = 386.44 KZT;0.2%;1 006 $/м2;0.45%;389 700 ₸/м2
09.10.2019;1 USD = 389.38 KZT;0%;1 004 $/м2;0.24%;391 500 ₸/м2
16.10.2019;1 USD = 389.59 KZT;0.2%;1 006 $/м2;0.2%;392 300 ₸/м2
23.10.2019;1 USD = 389.75 KZT;1.29%;1 019 $/м2;1.12%;396 700 ₸/м2
23.10.2019;1 USD = 389.75 KZT;1.29%;1 019 $/м2;1.12%;396 700 ₸/м2
06.11.2019;1 USD = 388.39 KZT;0.79%;1 020 $/м2;0.78%;396 500 ₸/м2
13.11.2019;1 USD = 388.81 KZT;0.1%;1 021 $/м2;0.07%;396 700 ₸/м2
13.11.2019;1 USD = 388.81 KZT;0.1%;1 021 $/м2;0.07%;396 700 ₸/м2
27.11.2019;1 USD = 385.01 KZT;3.75%;1 078 $/м2;3.56%;415 800 ₸/м2
04.12.2019;1 USD = 387.07 KZT;-2.5%;1 051 $/м2;-2.38%;405 900 ₸/м2
04.12.2019;1 USD = 387.07 KZT;-2.5%;1 051 $/м2;-2.38%;405 900 ₸/м2
18.12.2019;1 USD = 383.95 KZT;1.23%;1 068 $/м2;0.94%;410 200 ₸/м2
25.12.2019;1 USD = 381.56 KZT;0.56%;1 074 $/м2;-0.63%;407 600 ₸/м2
01.01.2020;1 USD = 381.18 KZT;1.86%;1 094 $/м2;2.39%;417 400 ₸/м2
01.01.2020;1 USD = 381.18 KZT;1.86%;1 094 $/м2;2.39%;417 400 ₸/м2
15.01.2020;1 USD = 379.34 KZT;4%;1 143 $/м2;3.92%;432 000 ₸/м2
22.01.2020;1 USD = 376.42 KZT;-3.15%;1 107 $/м2;-3.27%;417 900 ₸/м2
22.01.2020;1 USD = 376.42 KZT;-3.15%;1 107 $/м2;-3.27%;417 900 ₸/м2
05.02.2020;1 USD = 379.53 KZT;-4.39%;1 088 $/м2;-4.6%;411 800 ₸/м2
12.02.2020;1 USD = 378.19 KZT;2.76%;1 118 $/м2;2.38%;421 600 ₸/м2
12.02.2020;1 USD = 378.19 KZT;2.76%;1 118 $/м2;2.38%;421 600 ₸/м2
26.02.2020;1 USD = 376.72 KZT;-0.63%;1 113 $/м2;0.09%;421 900 ₸/м2
04.03.2020;1 USD = 380.26 KZT;-0.63%;1 106 $/м2;-0.22%;420 900 ₸/м2
11.03.2020;1 USD = 393.60 KZT;-2.44%;1 079 $/м2;3.2%;434 400 ₸/м2
11.03.2020;1 USD = 393.60 KZT;-2.44%;1 079 $/м2;3.2%;434 400 ₸/м2
25.03.2020;1 USD = 448.50 KZT;-2.27%;989.0 $/м2;-1.68%;441 700 ₸/м2
01.04.2020;1 USD = 447.67 KZT;-0.1%;988.0 $/м2;0.06%;442 000 ₸/м2
01.04.2020;1 USD = 447.67 KZT;-0.1%;988.0 $/м2;0.06%;442 000 ₸/м2
15.04.2020;1 USD = 425.58 KZT;1.76%;1 043 $/м2;-0.13%;444 900 ₸/м2
22.04.2020;1 USD = 430.50 KZT;-0.29%;1 040 $/м2;0.88%;448 800 ₸/м2
29.04.2020;1 USD = 431.16 KZT;-0.58%;1 034 $/м2;-1.27%;443 100 ₸/м2
29.04.2020;1 USD = 431.16 KZT;-0.58%;1 034 $/м2;-1.27%;443 100 ₸/м2
13.05.2020;1 USD = 420.16 KZT;0.19%;1 044 $/м2;-0.28%;440 100 ₸/м2
20.05.2020;1 USD = 415.11 KZT;0.19%;1 046 $/м2;-1.16%;435 000 ₸/м2
20.05.2020;1 USD = 415.11 KZT;0.19%;1 046 $/м2;-1.16%;435 000 ₸/м2
03.06.2020;1 USD = 402.37 KZT;6.43%;1 109 $/м2;5.59%;454 600 ₸/м2
10.06.2020;1 USD = 398.59 KZT;-3.61%;1 069 $/м2;-6.13%;426 700 ₸/м2
10.06.2020;1 USD = 398.59 KZT;-3.61%;1 069 $/м2;-6.13%;426 700 ₸/м2
24.06.2020;1 USD = 401.26 KZT;0.64%;1 109 $/м2;0.56%;446 600 ₸/м2
01.07.2020;1 USD = 403.93 KZT;-1.71%;1 090 $/м2;-1.23%;441 100 ₸/м2
08.07.2020;1 USD = 409.19 KZT;1.47%;1 106 $/м2;1.82%;449 100 ₸/м2
08.07.2020;1 USD = 409.19 KZT;1.47%;1 106 $/м2;1.82%;449 100 ₸/м2
22.07.2020;1 USD = 413.70 KZT;0%;1 094 $/м2;0.37%;452 500 ₸/м2
29.07.2020;1 USD = 412.18 KZT;-0.55%;1 088 $/м2;0.39%;454 300 ₸/м2
29.07.2020;1 USD = 412.18 KZT;-0.55%;1 088 $/м2;0.39%;454 300 ₸/м2
12.08.2020;1 USD = 412.18 KZT;5.16%;1 100 $/м2;5.25%;460 300 ₸/м2
19.08.2020;1 USD = 418.56 KZT;-3.82%;1 058 $/м2;-3.81%;442 800 ₸/м2
19.08.2020;1 USD = 418.56 KZT;-3.82%;1 058 $/м2;-3.81%;442 800 ₸/м2
03.09.2020;1 USD = 420.67 KZT;-2.05%;1 051 $/м2;-1.77%;441 900 ₸/м2
09.09.2020;1 USD = 425.74 KZT;-0.38%;1 047 $/м2;0.9%;445 900 ₸/м2
























